index,pair,support_count
284,"curd, whipped/sour cream",25
285,"bottled beer, fruit/vegetable juice",25
286,"beef, rolls/buns",24
287,"canned beer, pip fruit",24
288,"cream cheese , root vegetables",24
289,"frankfurter, margarine",24
290,"cream cheese , yogurt",24
291,"chocolate, yogurt",24
292,"pip fruit, pork",24
293,"citrus fruit, frozen vegetables",24
294,"rolls/buns, waffles",24
295,"grapes, other vegetables",24
296,"ham, other vegetables",24
297,"canned beer, fruit/vegetable juice",23
298,"canned beer, citrus fruit",23
299,"napkins, soda",23
300,"butter, pastry",23
301,"UHT-milk, tropical fruit",23
302,"bottled beer, pip fruit",23
303,"pork, shopping bags",23
304,"bottled water, coffee",23
305,"domestic eggs, newspapers",23
306,"soda, white bread",23
307,"pastry, pork",23
308,"frankfurter, shopping bags",23
309,"onions, other vegetables",23
310,"salty snack, yogurt",23
311,"canned beer, whipped/sour cream",23
312,"canned beer, white bread",23
313,"butter, tropical fruit",23
314,"coffee, tropical fruit",23
315,"brown bread, frankfurter",23
316,"beef, brown bread",23
317,"bottled beer, brown bread",23
318,"pork, sausage",23
319,"beverages, sausage",23
320,"newspapers, whipped/sour cream",23
321,"bottled water, brown bread",23
322,"frozen meals, soda",23
323,"pastry, whipped/sour cream",23
324,"pork, tropical fruit",23
325,"berries, soda",22
326,"processed cheese, rolls/buns",22
327,"frozen meals, rolls/buns",22
328,"processed cheese, whole milk",22
329,"frankfurter, sausage",22
330,"sliced cheese, whole milk",22
331,"bottled water, sugar",22
332,"coffee, frankfurter",22
333,"bottled water, canned beer",22
334,"brown bread, tropical fruit",22
335,"candy, rolls/buns",22
336,"bottled beer, shopping bags",22
337,"dessert, sausage",22
338,"curd, root vegetables",22
339,"cream cheese , soda",22
340,"onions, soda",22
341,"citrus fruit, pip fruit",22
342,"domestic eggs, shopping bags",22
343,"margarine, tropical fruit",22
344,"fruit/vegetable juice, pastry",22
345,"dessert, soda",22
346,"frankfurter, whipped/sour cream",22
347,"salty snack, soda",21
348,"cream cheese , tropical fruit",21
349,"bottled water, pork",21
350,"bottled water, chocolate",21
351,"citrus fruit, specialty chocolate",21
352,"beef, margarine",21
353,"coffee, domestic eggs",21
354,"chocolate, sausage",21
355,"bottled beer, frozen vegetables",21
356,"fruit/vegetable juice, pip fruit",21
357,"berries, yogurt",21
358,"butter, newspapers",21
359,"beef, whipped/sour cream",21
360,"butter, frankfurter",21
361,"sausage, white bread",21
362,"bottled water, margarine",21
363,"misc. beverages, whole milk",21
364,"butter, fruit/vegetable juice",21
365,"coffee, pastry",21
366,"butter milk, soda",21
367,"citrus fruit, napkins",21
368,"soda, specialty chocolate",21
369,"domestic eggs, frankfurter",21
370,"curd, pastry",21
371,"other vegetables, sliced cheese",21
372,"chicken, tropical fruit",21
373,"hygiene articles, other vegetables",21
374,"coffee, shopping bags",21
375,"grapes, soda",21
376,"detergent, whole milk",21
377,"chewing gum, yogurt",21
378,"butter, margarine",21
379,"chocolate, tropical fruit",21
380,"onions, root vegetables",20
381,"hamburger meat, tropical fruit",20
382,"canned beer, frankfurter",20
383,"frankfurter, tropical fruit",20
384,"citrus fruit, fruit/vegetable juice",20
385,"frozen meals, yogurt",20
386,"citrus fruit, coffee",20
387,"hygiene articles, rolls/buns",20
388,"curd, frankfurter",20
389,"specialty chocolate, tropical fruit",20
390,"canned beer, frozen vegetables",20
391,"brown bread, root vegetables",20
392,"domestic eggs, pastry",20
393,"long life bakery product, soda",20
394,"frozen vegetables, pip fruit",20
395,"citrus fruit, pork",20
396,"red/blush wine, rolls/buns",20
397,"specialty chocolate, whole milk",20
398,"meat, root vegetables",20
399,"curd, pip fruit",20
400,"pastry, shopping bags",20
401,"meat, rolls/buns",20
402,"butter, shopping bags",20
403,"oil, rolls/buns",20
404,"flour, whole milk",20
405,"misc. beverages, rolls/buns",20
406,"beef, bottled water",20
407,"chocolate, pip fruit",20
408,"bottled water, chicken",20
409,"margarine, pork",20
410,"root vegetables, waffles",20
411,"coffee, sausage",20
412,"margarine, pastry",20
413,"soda, specialty bar",19
414,"ham, rolls/buns",19
415,"beef, curd",19
416,"margarine, pip fruit",19
417,"ice cream, other vegetables",19
418,"berries, tropical fruit",19
419,"newspapers, pip fruit",19
420,"butter milk, rolls/buns",19
421,"citrus fruit, domestic eggs",19
422,"white wine, whole milk",19
423,"onions, yogurt",19
424,"UHT-milk, soda",19
425,"other vegetables, sugar",19
426,"hamburger meat, root vegetables",19
427,"root vegetables, white bread",19
428,"chicken, shopping bags",19
429,"hard cheese, yogurt",19
430,"beef, frozen vegetables",19
431,"candy, soda",19
432,"bottled water, white bread",19
433,"chicken, whipped/sour cream",19
434,"frozen meals, sausage",19
435,"misc. beverages, yogurt",19
436,"butter milk, yogurt",19
437,"napkins, tropical fruit",19
438,"beef, shopping bags",19
439,"chicken, pastry",19
440,"soft cheese, yogurt",19
441,"ham, yogurt",19
442,"butter milk, other vegetables",19
443,"curd, shopping bags",19
444,"rolls/buns, specialty chocolate",19
445,"brown bread, shopping bags",19
446,"domestic eggs, pork",18
447,"specialty bar, yogurt",18
448,"beverages, rolls/buns",18
449,"dessert, shopping bags",18
450,"ice cream, soda",18
451,"soft cheese, whole milk",18
452,"cream cheese , sausage",18
453,"bottled water, fruit/vegetable juice",18
454,"bottled beer, whipped/sour cream",18
455,"onions, tropical fruit",18
456,"candy, yogurt",18
457,"root vegetables, sliced cheese",18
458,"canned beer, domestic eggs",18
459,"other vegetables, soft cheese",18
460,"shopping bags, whipped/sour cream",18
461,"packaged fruit/vegetables, rolls/buns",18
462,"rolls/buns, specialty bar",18
463,"soda, sugar",18
464,"cream cheese , shopping bags",18
465,"chicken, citrus fruit",18
466,"ham, soda",18
467,"misc. beverages, other vegetables",18
468,"citrus fruit, sausage",18
469,"grapes, rolls/buns",18
470,"canned beer, margarine",18
471,"chocolate, root vegetables",18
472,"brown bread, curd",18
473,"beef, pastry",18
474,"long life bakery product, yogurt",18
475,"dessert, yogurt",18
476,"brown bread, domestic eggs",18
477,"canned beer, curd",18
478,"citrus fruit, newspapers",18
479,"margarine, whipped/sour cream",17
480,"citrus fruit, margarine",17
481,"salty snack, sausage",17
482,"beef, tropical fruit",17
483,"butter, whipped/sour cream",17
484,"beef, domestic eggs",17
485,"curd, pork",17
486,"ham, tropical fruit",17
487,"sliced cheese, soda",17
488,"citrus fruit, white bread",17
489,"UHT-milk, yogurt",17
490,"sausage, sliced cheese",17
491,"other vegetables, red/blush wine",17
492,"chicken, curd",17
493,"canned beer, chicken",17
494,"citrus fruit, curd",17
495,"bottled beer, curd",17
496,"candy, other vegetables",17
497,"UHT-milk, sausage",17
498,"waffles, yogurt",17
499,"berries, pip fruit",17
500,"long life bakery product, other vegetables",17
501,"butter, pip fruit",17
502,"herbs, yogurt",17
503,"herbs, whole milk",17
504,"frankfurter, fruit/vegetable juice",17
505,"beef, butter",17
506,"tropical fruit, waffles",17
507,"hard cheese, pip fruit",16
508,"domestic eggs, fruit/vegetable juice",16
509,"processed cheese, root vegetables",16
510,"dessert, tropical fruit",16
511,"bottled water, frozen vegetables",16
512,"dessert, root vegetables",16
513,"grapes, root vegetables",16
514,"long life bakery product, tropical fruit",16
515,"pasta, whole milk",16
516,"canned beer, chocolate",16
517,"onions, whipped/sour cream",16
518,"bottled water, dessert",16
519,"white bread, yogurt",16
520,"coffee, pip fruit",16
521,"long life bakery product, sausage",16
522,"frankfurter, newspapers",16
523,"napkins, root vegetables",16
524,"cat food, rolls/buns",16
525,"brown bread, whipped/sour cream",16
526,"chicken, sausage",16
527,"bottled beer, hamburger meat",16
528,"chocolate, citrus fruit",16
529,"beef, bottled beer",16
530,"root vegetables, salty snack",16
531,"frozen fish, whole milk",16
532,"berries, bottled water",16
533,"chicken, pip fruit",16
534,"UHT-milk, bottled water",16
535,"flour, tropical fruit",16
536,"chewing gum, other vegetables",16
537,"grapes, sausage",16
538,"beverages, bottled water",16
539,"oil, yogurt",16
540,"frankfurter, frozen vegetables",16
541,"detergent, yogurt",16
542,"hygiene articles, soda",16
543,"bottled beer, margarine",16
544,"bottled beer, pork",16
545,"beef, fruit/vegetable juice",16
546,"frozen vegetables, tropical fruit",16
547,"berries, pastry",16
548,"misc. beverages, sausage",16
549,"berries, root vegetables",16
550,"curd, margarine",16
551,"cream cheese , frankfurter",15
552,"pickled vegetables, whole milk",15
553,"rolls/buns, soft cheese",15
554,"chicken, margarine",15
555,"curd, dessert",15
556,"fruit/vegetable juice, margarine",15
557,"bottled water, onions",15
558,"misc. beverages, root vegetables",15
559,"other vegetables, pot plants",15
560,"butter milk, tropical fruit",15
561,"salty snack, tropical fruit",15
562,"other vegetables, semi-finished bread",15
563,"beef, canned beer",15
564,"bottled beer, chicken",15
565,"cat food, tropical fruit",15
566,"hygiene articles, root vegetables",15
567,"meat, soda",15
568,"whipped/sour cream, white bread",15
569,"brown bread, white bread",15
570,"margarine, shopping bags",15
571,"sugar, tropical fruit",15
572,"candy, citrus fruit",15
573,"chicken, root vegetables",15
574,"tropical fruit, white bread",15
575,"canned beer, coffee",15
576,"domestic eggs, white bread",15
577,"UHT-milk, root vegetables",15
578,"butter, canned beer",15
579,"beef, frankfurter",15
580,"citrus fruit, cream cheese",15
581,"brown bread, butter",15
582,"butter milk, root vegetables",15
583,"bottled beer, chocolate",15
584,"hard cheese, root vegetables",15
585,"hamburger meat, pastry",15
586,"detergent, rolls/buns",15
587,"canned beer, salty snack",15
588,"rolls/buns, seasonal products",15
589,"butter milk, shopping bags",15
590,"chewing gum, soda",15
591,"pot plants, whole milk",15
592,"chicken, domestic eggs",15
